Local government area,LGA_CODE22,State,Households - at 2021,Current unmet need - Estimate,Current unmet need - % all households,Source of unmet need - Q1  rent stress,Source of unmet need - Q2  rent stress,Source of unmet need - Manifest (homeless),Current social housing - at 2021,Current social housing - % all need (met+unmet),Projected need by 2041 - Estimate,Projected need by 2041 - As annual SH growth,Projected need by 2041 - As average annual build
Albury,10050,NSW,23200,1800,0.078,0.66,0.34,0,900,0.343,2200,0.062,100-200
Armidale,10180,NSW,11300,800,0.072,0.669,0.294,0.037,600,0.413,1000,0.052,<100
Ballina,10250,NSW,19000,1400,0.076,0.519,0.464,0.017,700,0.329,1800,0.064,<100
Balranald,10300,NSW,900,100,0.081,0.117,0.588,0.295,negligible,-,100,-,<100
Bathurst,10470,NSW,16600,1000,0.061,0.654,0.336,0.01,600,0.39,1300,0.056,<100
Bayside (NSW),10500,NSW,67800,6500,0.095,0.445,0.373,0.181,2400,0.269,9600,0.084,400-500
Bega Valley,10550,NSW,15300,900,0.06,0.575,0.39,0.035,400,0.298,1100,0.07,<100
Bellingen,10600,NSW,5500,500,0.094,0.647,0.295,0.058,100,0.181,600,0.097,<100
Berrigan,10650,NSW,3600,200,0.05,0.605,0.384,0.011,negligible,-,200,-,<100
Blacktown,10750,NSW,127000,9600,0.075,0.617,0.319,0.064,8300,0.465,16000,0.055,700-800
Bland,10800,NSW,2300,100,0.037,0.563,0.176,0.261,negligible,-,100,-,<100
Blayney,10850,NSW,2900,200,0.054,0.762,0.212,0.025,100,0.325,200,0.065,<100
Blue Mountains,10900,NSW,31200,1800,0.058,0.517,0.39,0.093,600,0.252,2700,0.088,100-200
Bogan,10950,NSW,1000,<100,0.042,0.33,0.462,0.208,100,0.587,100,0.034,<100
Bourke,11150,NSW,900,<100,0.028,0,0,1,100,0.81,<100,0.018,<100
Brewarrina,11200,NSW,600,<100,0.02,0,0,1,200,0.948,<100,0.01,<100
Broken Hill,11250,NSW,7800,500,0.06,0.69,0.31,0,200,0.304,600,0.069,<100
Burwood,11300,NSW,14700,1600,0.106,0.515,0.412,0.073,400,0.221,2300,0.095,100-200
Byron,11350,NSW,14000,1400,0.098,0.44,0.54,0.02,300,0.166,1600,0.102,<100
Cabonne,11400,NSW,5200,200,0.037,0.568,0.356,0.076,100,0.236,200,0.082,<100
Camden,11450,NSW,38100,2700,0.07,0.482,0.399,0.119,500,0.165,3800,0.111,100-200
Campbelltown (NSW),11500,NSW,59900,4600,0.076,0.686,0.292,0.022,5300,0.538,8000,0.047,400-500
Canada Bay,11520,NSW,35500,2300,0.065,0.425,0.437,0.138,900,0.276,3400,0.083,100-200
Canterbury-Bankstown,11570,NSW,123500,14800,0.12,0.637,0.293,0.07,9900,0.4,23600,0.063,1100-1200
Carrathool,11600,NSW,1100,100,0.065,0.177,0.139,0.684,negligible,-,100,-,<100
Central Coast (NSW),11650,NSW,136800,11600,0.085,0.606,0.358,0.036,4700,0.287,17500,0.081,800-900
Central Darling,11700,NSW,700,<100,0.044,0,0,1,200,0.842,100,0.016,<100
Cessnock,11720,NSW,23400,1900,0.08,0.732,0.257,0.011,700,0.267,2300,0.076,100-200
Clarence Valley,11730,NSW,22000,2000,0.091,0.598,0.304,0.098,600,0.219,2400,0.086,100-200
Cobar,11750,NSW,1600,100,0.045,0.507,0.135,0.358,100,0.606,100,0.033,<100
Coffs Harbour,11800,NSW,31000,2900,0.095,0.603,0.389,0.007,1300,0.309,3600,0.068,100-200
Coolamon,12000,NSW,1700,<100,0.025,0.431,0.411,0.158,negligible,-,100,-,<100
Coonamble,12150,NSW,1500,100,0.044,0.635,0.276,0.09,200,0.702,100,0.025,<100
Cootamundra-Gundagai,12160,NSW,4800,300,0.063,0.636,0.327,0.037,200,0.391,400,0.055,<100
Cowra,12350,NSW,5400,300,0.064,0.676,0.303,0.021,200,0.399,400,0.054,<100
Cumberland,12380,NSW,76300,9300,0.122,0.631,0.286,0.082,5500,0.373,14600,0.067,700-800
Dubbo,12390,NSW,20700,1200,0.058,0.702,0.294,0.004,1000,0.444,1500,0.049,<100
Dungog,12700,NSW,3700,200,0.049,0.544,0.33,0.126,negligible,-,200,-,<100
Edward River,12730,NSW,3600,200,0.066,0.691,0.274,0.035,100,0.332,300,0.064,<100
Eurobodalla,12750,NSW,17500,1300,0.073,0.612,0.374,0.013,500,0.299,1600,0.07,<100
Fairfield,12850,NSW,63800,9700,0.153,0.721,0.25,0.029,5200,0.35,15100,0.07,700-800
Federation,12870,NSW,5500,300,0.058,0.66,0.315,0.025,100,0.14,400,0.111,<100
Forbes,12900,NSW,3800,200,0.065,0.672,0.279,0.05,200,0.4,300,0.054,<100
Georges River,12930,NSW,54100,4300,0.08,0.53,0.39,0.08,1600,0.271,6400,0.084,300-400
Gilgandra,12950,NSW,1800,100,0.077,0.804,0.175,0.021,100,0.363,200,0.059,<100
Glen Innes Severn,13010,NSW,3900,400,0.094,0.633,0.32,0.046,100,0.226,400,0.085,<100
Goulburn Mulwaree,13310,NSW,12700,800,0.062,0.635,0.344,0.021,700,0.459,1000,0.047,<100
Greater Hume,13340,NSW,4200,100,0.032,0.596,0.362,0.042,100,0.28,200,0.073,<100
Griffith,13450,NSW,9900,500,0.049,0.7,0.291,0.009,400,0.461,600,0.047,<100
Gunnedah,13550,NSW,5100,300,0.065,0.656,0.296,0.047,200,0.371,400,0.058,<100
Gwydir,13660,NSW,2000,100,0.062,0.642,0.129,0.229,negligible,-,100,-,<100
Hawkesbury,13800,NSW,23900,1500,0.063,0.569,0.331,0.1,800,0.358,2300,0.069,100-200
